id,numero,beneficiario,concepto,monto,fecha_emision,fecha_vto_original,fecha_vto_habil,dia_semana_vto,fue_ajustado,mes_impacta,mes_nombre,estado,banco_emisor,observaciones
1,00120,ACME Servicios SA,Servicios informática,185000.0,2026-06-04,2025-05-03,2025-05-05,Sábado,True,5,Mayo,cobrado,Banco Nación,
2,00121,Proveedor ABC SRL,Insumos oficina,92000.0,2026-06-04,2025-05-12,2025-05-12,Lunes,False,5,Mayo,cobrado,Banco Nación,
3,00122,Distribuidora ZZZ SA,Fletes mayo,141000.0,2026-06-04,2025-05-18,2025-05-19,Domingo,True,5,Mayo,cobrado,Banco Nación,
4,00123,Servicios TEC SRL,Mantenimiento,58000.0,2026-06-04,2025-05-25,2025-05-26,Domingo,True,5,Mayo,cobrado,Banco Nación,
5,00124,Laboratorio Farmex SA,Compra medicamentos,285000.0,2026-06-04,2025-06-07,2025-06-09,Sábado,True,6,Junio,pendiente,Banco Nación,
6,00125,Proveedor Logístico,Logística distribución,112000.0,2026-06-04,2025-06-14,2025-06-17,Sábado,True,6,Junio,pendiente,Banco Nación,
7,00126,Imprenta Central,Material impreso,35000.0,2026-06-04,2025-06-15,2025-06-17,Domingo,True,6,Junio,pendiente,Banco Nación,
8,00127,Limpieza Profesional SRL,Servicio limpieza,28500.0,2026-06-04,2025-06-21,2025-06-23,Sábado,True,6,Junio,pendiente,Banco Nación,
9,00128,Consultoría IT,Desarrollo sistema,150000.0,2026-06-04,2025-06-28,2025-06-30,Sábado,True,6,Junio,pendiente,Banco Nación,
10,00129,Laboratorio Bayer SA,Pedido julio,320000.0,2026-06-04,2025-07-05,2025-07-07,Sábado,True,7,Julio,pendiente,Banco Nación,
11,00130,Roche Argentina SA,Medicamentos especiales,198000.0,2026-06-04,2025-07-06,2025-07-07,Domingo,True,7,Julio,pendiente,Banco Nación,
12,00131,Provmed Distribuidora,Insumos descartables,87000.0,2026-06-04,2025-07-12,2025-07-14,Sábado,True,7,Julio,pendiente,Banco Nación,
13,00132,Seguros Médicos SA,Prima seguro julio,15000.0,2026-06-04,2025-07-19,2025-07-21,Sábado,True,7,Julio,pendiente,Banco Nación,
14,00133,Alquileres del Sur SRL,Alquiler agosto,95000.0,2026-06-04,2025-08-01,2025-08-01,Viernes,False,8,Agosto,pendiente,Banco Nación,
