id,proveedor,pais_origen,descripcion,categoria,fecha_orden,fecha_sira,fecha_arribo,fecha_dua,fecha_pago_proveedor,dias_plazo_pago,monto_usd,flete_seguro_usd,monto_cif_usd,tc_aplicado,monto_ars_equivalente,arancel_pct,arancel_ars,tasa_estadistica_ars,iva_importacion_ars,percepcion_arca_ars,costo_total_ars,estado,banco_pago,unidad_negocio,observaciones
1,Fresenius Kabi AG,Alemania,Soluciones parenterales,medicamentos_generales,2025-01-15,,,,2025-04-15,90,4200000,147000.0,4347000.0,1200.0,5216400000,0.02,104328000,26082000,558676440,156492000,6061978440,en_transito,Citibank N.A.,Medicamentos,
2,Baxter International,EEUU,Bolsas y sistemas IV,dispositivos_medicos,2025-01-20,,,,2025-03-21,60,3800000,133000.0,3933000.0,1200.0,4719600000,0.06,283176000,23598000,525291480,141588000,5693253480,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
3,Roche Diagnostics GmbH,Suiza,Reactivos diagnóstico,medicamentos_esenciales,2025-02-10,,,,2025-05-12,90,2900000,101500.0,3001500.0,1200.0,3601800000,0.0,0,18009000,378189000,108054000,4106052000,en_transito,Citibank N.A.,Medicamentos,
4,Sandoz GmbH,Austria,Genéricos importados,medicamentos_generales,2025-02-15,,,,2025-04-16,60,3500000,122500.0,3622500.0,1200.0,4347000000,0.02,86940000,21735000,465563700,130410000,5051648700,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
5,B. Braun Melsungen,Alemania,Material descartable quirúrgico,dispositivos_medicos,2025-03-05,,,,2025-06-03,90,2100000,73500.0,2173500.0,1200.0,2608200000,0.06,156492000,13041000,290292660,78246000,3146271660,en_transito,Citibank N.A.,Medicamentos,
6,Teva Pharmaceutical,Israel,APIs y genéricos bulk,insumos_farmaceuticos,2025-03-10,,,,2025-06-09,90,4800000,168000.0,4968000.0,1200.0,5961600000,0.02,119232000,29808000,638487360,178848000,6927975360,en_transito,Banco Credicoop Cooperativo Limitado,Medicamentos,
7,Pfizer Inc.,EEUU,Vacunas importadas,medicamentos_esenciales,2025-04-01,,,,2025-06-02,60,8500000,297500.0,8797500.0,1200.0,10557000000,0.0,0,52785000,1108485000,316710000,12034980000,en_transito,Citibank N.A.,Medicamentos,
8,MSD International,Irlanda,Oncológicos importados,medicamentos_esenciales,2025-04-15,,,,2025-07-14,90,6200000,217000.0,6417000.0,1200.0,7700400000,0.0,0,38502000,808542000,231012000,8778456000,en_transito,Citibank N.A.,Medicamentos,
9,Fresenius Kabi AG,Alemania,Nutrición parenteral,medicamentos_generales,2025-05-05,,,,2025-08-04,90,3900000,136500.0,4036500.0,1200.0,4843800000,0.02,96876000,24219000,518770980,145314000,5628979980,en_transito,Citibank N.A.,Medicamentos,
10,Abbott Laboratories,EEUU,Dispositivos cardiología,equipamiento_medico,2025-05-20,,,,2025-07-21,60,2700000,94500.0,2794500.0,1200.0,3353400000,0.0,0,16767000,352107000,100602000,3822876000,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
