id,numero_factura,tipo,cliente,cuit_cliente,fecha_emision,importe_bruto,descuento_pct,importe_neto,condicion_pago,dias_condicion,fecha_vto_cobro,fecha_vto_habil,mes_cobro_esperado,estado,importe_cobrado,fecha_cobro_real,mes_emision,año_emision,linea_negocio,observaciones
1,A-0001,A,Farmacia Central SA,,2025-01-05,485000.0,0.0,485000.0,30,30,2025-02-04,2025-02-04,2,cobrado,485000.0,2025-02-04,1,2025,Medicamentos,
2,A-0002,A,Farmacias del Pueblo SRL,,2025-01-08,312000.0,0.0,312000.0,60,60,2025-03-09,2025-03-10,3,cobrado,312000.0,2025-03-09,1,2025,Medicamentos,
3,A-0003,A,Farmashop SRL,,2025-01-12,198500.0,0.0,198500.0,contado,0,2025-01-12,2025-01-13,1,cobrado,198500.0,2025-01-12,1,2025,Cosmética,
4,A-0004,A,Farmacia La Paz,,2025-01-15,156000.0,0.0,156000.0,30,30,2025-02-14,2025-02-14,2,cobrado,156000.0,2025-02-14,1,2025,Nutrición,
5,A-0005,A,Medicinea SA,,2025-01-20,425000.0,0.0,425000.0,90,90,2025-04-20,2025-04-21,4,cobrado,425000.0,2025-04-20,1,2025,Medicamentos,
6,A-0006,A,Farmadent SRL,,2025-02-03,287000.0,0.0,287000.0,30,30,2025-03-05,2025-03-05,3,cobrado,287000.0,2025-03-05,2,2025,Medicamentos,
7,A-0007,A,Farmacia San Martín,,2025-02-07,198000.0,0.0,198000.0,60,60,2025-04-08,2025-04-08,4,cobrado,198000.0,2025-04-08,2,2025,Cosmética,
8,A-0008,A,Farmared CABA,,2025-02-10,534000.0,0.0,534000.0,30,30,2025-03-12,2025-03-12,3,cobrado,534000.0,2025-03-12,2,2025,Medicamentos,
9,A-0009,A,Farmacias Municipales,,2025-02-14,312000.0,0.0,312000.0,contado,0,2025-02-14,2025-02-14,2,cobrado,312000.0,2025-02-14,2,2025,Nutrición,
10,A-0010,A,Farmacia Central SA,,2025-03-03,465000.0,0.0,465000.0,30,30,2025-04-02,2025-04-03,4,cobrado,465000.0,2025-04-02,3,2025,Medicamentos,
11,A-0011,A,Farmacias del Pueblo SRL,,2025-03-07,298000.0,0.0,298000.0,60,60,2025-05-06,2025-05-06,5,cobrado,298000.0,2025-05-06,3,2025,Medicamentos,
12,A-0012,A,Farmashop SRL,,2025-03-12,412000.0,0.0,412000.0,30,30,2025-04-11,2025-04-11,4,cobrado,412000.0,2025-04-11,3,2025,Cosmética,
13,A-0013,A,Farmacia La Paz,,2025-03-18,185000.0,0.0,185000.0,contado,0,2025-03-18,2025-03-18,3,cobrado,185000.0,2025-03-18,3,2025,Nutrición,
14,A-0014,A,Medicinea SA,,2025-03-25,623000.0,0.0,623000.0,90,90,2025-06-23,2025-06-23,6,cobrado,623000.0,2025-06-23,3,2025,Medicamentos,
15,A-0015,A,Farmadent SRL,,2025-04-02,312000.0,0.0,312000.0,30,30,2025-05-02,2025-05-02,5,cobrado,312000.0,2025-05-02,4,2025,Medicamentos,
16,A-0016,A,Farmacia San Martín,,2025-04-07,245000.0,0.0,245000.0,60,60,2025-06-06,2025-06-06,6,cobrado,245000.0,2025-06-06,4,2025,Cosmética,
17,A-0017,A,Farmared CABA,,2025-04-11,587000.0,0.0,587000.0,30,30,2025-05-11,2025-05-12,5,cobrado,587000.0,2025-05-11,4,2025,Medicamentos,
18,A-0018,A,Farmacias Municipales,,2025-04-16,198000.0,0.0,198000.0,contado,0,2025-04-16,2025-04-16,4,cobrado,198000.0,2025-04-16,4,2025,Nutrición,
19,A-0019,A,Farmacia Central SA,,2025-05-05,512000.0,0.0,512000.0,30,30,2025-06-04,2025-06-04,6,cobrado,512000.0,2025-06-04,5,2025,Medicamentos,
20,A-0020,A,Farmacias del Pueblo SRL,,2025-05-08,287000.0,0.0,287000.0,60,60,2025-07-07,2025-07-07,7,cobrado,287000.0,2025-07-07,5,2025,Medicamentos,
21,A-0021,A,Farmashop SRL,,2025-05-12,345000.0,0.0,345000.0,30,30,2025-06-11,2025-06-11,6,cobrado,345000.0,2025-06-11,5,2025,Cosmética,
22,A-0022,A,Farmacia La Paz,,2025-05-15,198000.0,0.0,198000.0,contado,0,2025-05-15,2025-05-15,5,cobrado,198000.0,2025-05-15,5,2025,Nutrición,
23,A-0023,A,Medicinea SA,,2025-05-20,478000.0,0.0,478000.0,90,90,2025-08-18,2025-08-19,8,cobrado,478000.0,2025-08-18,5,2025,Medicamentos,
24,A-0024,A,Farmadent SRL,,2025-05-26,234000.0,0.0,234000.0,30,30,2025-06-25,2025-06-25,6,cobrado,234000.0,2025-06-25,5,2025,Medicamentos,
25,A-0025,A,Farmacia Central SA,,2025-06-03,495000.0,0.0,495000.0,30,30,2025-07-03,2025-07-03,7,pendiente,0.0,,6,2025,Medicamentos,
26,A-0026,A,Farmacias del Pueblo SRL,,2025-06-06,321000.0,0.0,321000.0,60,60,2025-08-05,2025-08-05,8,pendiente,0.0,,6,2025,Medicamentos,
27,A-0027,A,Farmashop SRL,,2025-06-10,412000.0,0.0,412000.0,30,30,2025-07-10,2025-07-10,7,cobrado_parcial,200000.0,2026-06-04,6,2025,Cosmética,
28,A-0028,A,Farmacia La Paz,,2025-06-13,178000.0,0.0,178000.0,contado,0,2025-06-13,2025-06-13,6,cobrado,178000.0,2025-06-13,6,2025,Nutrición,
29,A-0029,A,Medicinea SA,,2025-06-17,587000.0,0.0,587000.0,90,90,2025-09-15,2025-09-15,9,pendiente,0.0,,6,2025,Medicamentos,
30,A-0030,A,Farmared CABA,,2025-06-20,398000.0,0.0,398000.0,30,30,2025-07-20,2025-07-21,7,pendiente,0.0,,6,2025,Medicamentos,
