Fecha,Descripción,Importe,Saldo
02/05/2025,TRANSF RECIB FARMACIA CENTRAL SA,340000,2440000.0
05/05/2025,ACREDITA CLIENTE FARMACIAS DEL PUEBLO,285000,2725000.0
08/05/2025,COBRO FACTURA A-0892 DROGUERIA NORTE,156800,2881800.0
10/05/2025,TRANSF RECIB FARMASHOP SRL,412000,3293800.0
12/05/2025,PAGO RECIB FARMACIAS MUNICIPALES,198500,3492300.0
15/05/2025,ACREDITA CLIENTE FARMACIA LA PAZ,87400,3579700.0
18/05/2025,TRANSF RECIB MEDICINEA SA,523000,4102700.0
20/05/2025,COBRO FACTURA B-1204 FARMADENT,167200,4269900.0
22/05/2025,PAGO RECIB FARMACIA SAN MARTIN,340000,4609900.0
25/05/2025,TRANSF RECIB FARMACIAS DEL SOL,289000,4898900.0
28/05/2025,ACREDITA CLIENTE FARMARED CABA,456000,5354900.0
05/05/2025,DEBITO AFIP IVA MAYO 2025,-98400,5256500.0
07/05/2025,PAGO SUELDO MAYO 2025 PERSONAL,-420000,4836500.0
07/05/2025,AFIP SIPA CARGAS SOCIALES MAYO,-134400,4702100.0
10/05/2025,PAGO A LABORATORIO BAYER SA,-280000,4422100.0
12/05/2025,PAGO A LABORATORIO ROCHE ARGENTINA,-195000,4227100.0
14/05/2025,DEBITO AUTOMATICO ALQUILER MAYO,-95000,4132100.0
15/05/2025,CUOTA PRESTAMO BANCO GALICIA NRO 5,-42000,4090100.0
16/05/2025,PAGO A DISTRIBUIDOR FARMALOGIC,-85000,4005100.0
19/05/2025,DEBITO IMPUESTO INGRESOS BRUTOS,-34500,3970600.0
20/05/2025,CHEQUE 00124 ACME SERVICIOS SA,-185000,3785600.0
21/05/2025,PAGO A PROVEEDOR SERVICIOS TEC SRL,-75000,3710600.0
22/05/2025,COMISION MANTENIMIENTO CUENTA MAYO,-3200,3707400.0
23/05/2025,PAGO A LABORATORIO PFIZER ARG,-320000,3387400.0
26/05/2025,IMP DEBITO Y CREDITO MAYO,-12400,3375000.0
27/05/2025,DEBITO AUTOMATICO LUZ EDESUR,-18700,3356300.0
28/05/2025,CHEQUE 00125 PROVEEDOR ABC SRL,-92000,3264300.0
29/05/2025,CUOTA PLAN PAGO AFIP RG 5678,-12000,3252300.0
30/05/2025,DEBITO SEGUROS MAPFRE MAYO,-9000,3243300.0
